"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"06.05.2024","5,0725","5,0725","5,0725","5,0725","","0,00%"
"05.05.2024","5,0725","5,0725","5,0725","5,0725","","0,00%"
"03.05.2024","5,0725","5,1110","5,1150","5,0453","","-0,76%"
"02.05.2024","5,1113","5,1940","5,1940","5,0995","","-1,58%"
"01.05.2024","5,1936","5,1940","5,1999","5,1929","","0,00%"
"30.04.2024","5,1934","5,1190","5,1975","5,1133","","1,46%"
"29.04.2024","5,1189","5,1170","5,1227","5,1020","","0,07%"
"26.04.2024","5,1151","5,1615","5,1673","5,1085","","-0,87%"
"25.04.2024","5,1602","5,1472","5,1935","5,1099","","0,28%"
"24.04.2024","5,1457","5,1263","5,1720","5,1238","","0,38%"
"23.04.2024","5,1260","5,1674","5,1894","5,1182","","-0,81%"
"22.04.2024","5,1680","5,2021","5,2189","5,1633","","-0,67%"
"19.04.2024","5,2027","5,2485","5,2778","5,1849","","-0,87%"
"18.04.2024","5,2482","5,2421","5,2789","5,2284","","0,12%"
"17.04.2024","5,2420","5,2829","5,2916","5,2194","","-0,77%"
"16.04.2024","5,2826","5,1851","5,2873","5,1817","","1,89%"
"15.04.2024","5,1846","5,1149","5,2153","5,1031","","1,31%"
"12.04.2024","5,1175","5,0922","5,1487","5,0890","","0,51%"
"11.04.2024","5,0917","5,0735","5,0931","5,0580","","0,34%"
"10.04.2024","5,0746","5,0092","5,0863","4,9970","","1,31%"
"09.04.2024","5,0090","5,0281","5,0310","4,9995","","-0,35%"
"08.04.2024","5,0268","5,0665","5,0759","5,0247","","-0,76%"
